URL,Name,Type,Self-Description,Purpose,Topics,Projects,Language,Country,District,Notes
https://meta-pol-is.slack.com/,Pol.is platform experimenters,slack team,meta-polis - Slack group for Pol.is platform experimenters,discussion route for those working on/with the pol.is systems,"digital democracy,democracy",,English,,,
https://representcommunity.slack.com/,Represent Community,slack team,Community Channel for those building on represent.me,discussion route for those working on/with represent.me,"open data,digital democracy,democracy",Represent.me,English,uk,,
https://www.meetup.com/Hackney-Hack-Nights/,Hackney Hack Nights (Journalism & Tech),meetup group,"A rolling hackathon for journalists, technologists and urbanists interested in Hackney happenings.","The idea is that the Hackney Hackers will provide a forum for active citizens to share resources, ideas and support each other and we want to build an open source portfolio of the projects that get started, worked on or completed during our Hack Nights.","community,apps & tools,local democracy,local representation,digital urban planning","Hackney Hack Night on Care, Hackney Hack Night on Housing",English,uk,london,In Person Event
https://www.meetup.com/HacksHackersLondon/,Hacks Hackers London,meetup group,"This group aims to help members find inspiration and think in new directions, bringing together potential collaborators for projects and new ventures.",Talks and creating connections between Hacks (journalists) and Hackers (technologists),"journalism,technology,open technology,data technology",,English,uk,london,In Person Event
https://groups.google.com/forum/#!forum/influencemapping,Influence Mapping,mailing list,"Our goal is to share data-driven methods to map out political and economic influence. We're a network of political scientists, technologists, journalists and designers who work to break down the complexities of lobbying, conflicts of interest, corporate structures and many related fields.","Community announcements and networking those working in and alongside lobbying, corporate structures and related fields; specifically focused on political and economic matters.","economics,politics,corporates,journalism",,English,uk,,
https://www.ire.org/resource-center/listservs/subscribe-nicar-l/,NICAR/IRE,mailing list,"Investigative Reporters and Editors, Inc. is a grassroots nonprofit organization dedicated to improving the quality of investigative reporting. IRE was formed in 1975 to create a forum in which journalists throughout the world could help each other by sharing story ideas, newsgathering techniques and news sources.",Mailing list and online resource centre for Investigative Reporters and Editors ,"journalism,politics,investigation",,English,us,,
http://newsnerdery.org/ Slack,News Nerdery,slack team,An international meta organization to foster news nerd collaboration and knowledge sharing,Peer learning for technical journalists,"news,technology,data/hacking",Oiler podcast,English,international,,
https://dgroups.org/hivos/ogp,OGB Civil Society Hub,mailing list,Welcome to the OGP civil society mailing list on Dgroups! This space is managed by the OGP Civil Society Engagement Team. You can post all OGP relevant news you want to share with the community here. You can contribute to existing discussions or start a new discussion yourself. All email will be sent to the (growing amount of) people registered on this mailing list.,List and archive access point for the OGP civil society mailing list,"public engagement,civil society,democracy,economics",OGP Civil Society. ,English,uk,,
https://groups.google.com/forum/#!forum/pmo-network,PMO Network,mailing list,An international network of civil society organizations and individuals that monitor the work of parliaments.,Mailing list and archive for the PMO network,parliamentary processes,,English,international,,"Worldwide in this case is very focused on the USA and UK, with reference to projects run in those areas, and by those areas in other parts of the global south"
https://tinfoil.press/,Tinfoil press,forum,"Tinfoil press; for journalism, media activism, and information security","Discussion space for journalism, activism, and information security","crypto education,data privacy,journalism,media activism",,English,,,"Completely open list - advocates for encryption, but has no protections in place."
agamedevchat.slack.com,AGameDevChat,slack team,Slack full of game developers. Email r.carbomascarell@gmail.com to get an invite.,"Community connection, code review, collaboration",games,,English,,,Email r.carbomascarell@gmail.com to get an invite
https://meta.wikimedia.org/wiki/Mailing_lists/Overview,Wiki*edia,mailing list,"These are the mailing lists hosted by Wikimedia Foundation, a non-profit organization in the state of California which operates Wikipedia, Wiktionary, Wikibooks, Wikidata, Wikiquote, Wikisource, Wikimedia Commons, Wikispecies, Wikinews, and Wikiversity, as well as many Wikimedia movement affiliates wikis, and a few other MediaWiki-based wikis.","community connection, discussion, management,","wikimedia,journalism,publishing","Wikipedia, Wiktionary, Wikibooks, Wikidata, Wikiquote, Wikisource, Wikimedia Commons, Wikispecies, Wikinews, and Wikiversity",English,us,,
https://lists.wikimedia.org/mailman/listinfo/wikimediauk-l,WikimediaUK,mailing list,"This is a public mailing list for Wikimedians in the UK. It covers UK-specific subjects and events, including but not only work by the chapter, Wikimedia UK.",Support those working on wiki*dia in the UK,"journalism,publishing",,English,uk,,
https://lists.mozilla.org/listinfo/community-mojo,Open News List,mailing list,"This list is intended for discussion of the Knight-Mozilla OpenNews project (formerly ""MoJo"" for Mozilla+Journalism)",Network Mozillians working on the Knight-Mozilla OpenNews project,"journalism,publishing",,English,international,,
https://opennews.org/what/community/calls/,Open News Community Call,weekly teleconference,"The Source community calls are a community check-in every other Thursday at 12pm ET for anyone in or near the journalism-code world who wants to announce new projects, events, grants, and job openings, and solicit contributors.",Network Mozillians working on the Knight-Mozilla OpenNews project,"journalism,publishing",,English,usa,,
https://groups.google.com/a/wikimedia.org/forum/#!forum/wikicite-discuss,WikiCite,mailing list,,Wikimedia list for the open citations community,"journalism,publishing",,English,,,
https://www.facebook.com/groups/nujournalists/permalink/10154772317679645/,NUJ public facebook group,facebook group,"We are among the biggest and best-established journalists' unions in the world, with 35,000 members. These members cover the whole range of editorial work – staff and freelance, writers and reporters, editors and sub-editors, photographers and illustrators, working in broadcasting, newspapers, magazines, books, on the internet and in public relations.","Public facing facebook group to connect members of the NUJ there, and to encourage non-member journalists, to become members.","journalism,trade union,publishing",,English,uk,,
https://etherpad.net/p/dotcomrades,DotComrades,etherpad,"Workers of the world, swipe left! Using tech to put a fist on the scales for workers. London, Dublin & an internet near you!",Community engagement and recruitment for DotComrades,"unions,co-ops,future of work",,English,uk,,
https://www.facebook.com/groups/workercoops/,Worker co-operatives,facebook group,A public UK and international group connecting worker co-operators and people with an interest in industrial democracy and collective ownership.,Network supporting recruitment to worker cooperatives and unionism,"unions,co-ops,future of work",,English,uk,,
https://www.facebook.com/groups/1170805349664629/,AI & Politics,facebook group,Exploring the intersection of AI & politics,"Discussion page for the AI & Politics community, Include the audience unable to make meetups","unions,co-ops,future of work",,English,uk,,
https://www.facebook.com/groups/700463969976107,Networked Labour,facebook group,"Networked Labour (www.networkedlabour.net) was an outcome of an international seminar held in Amsterdam between 7-9 May 2013. The seminar was initially supported by Networked Politics, transform! europe, Transnational Institute and IGOPNET (Institut de Govern the Polítiques Públiques). At the end of the seminar several ideas have emerged one of which was to improve this web space and try to transform it into a transnational and distributed network space, through which all of us could build new ties and expand our nets of collaboration. This Facebook group was then built to expand and strengthen the ties among the nodes involved, by allowing a continuous exchange and debate, so chance produce and sharing information around the clock. Between 2015 and 2017 NetworkedLabour.net project is rebuilt as an independent Online Worker's University Campus, which gained political and financial autonomous from any groups and organizations, state, corporate or NGO kind, including the institutions mentioned as initial supporters.",Further Discussion around the topics explored at the 2013 seminar.,"unions,co-ops,future of work",,English,eu,,
http://www.markgraham.space/blog/2017/2/26/join-our-london-digital-labour-meetup,London Digital Labour Meetup,mailing list,"If you are interested in scholarship or activism on the topic of digital labour and the future of work, then consider joining our regular meet-up series that will be held in London. We aim to meet on Thursday nights at 7pm, have a few drinks, and talk about topics related to digital labour, the platform economy, digital gig work, and online freelancing.","Social Networking of London based professionals around collective and new media working, with a focus on collectivising freelancers and zero hours workers in Digital","unions,co-ops,future of work",,English,uk,london,
https://lists.okfn.org/mailman/listinfo,Open Knowledge,mailing list,A listing of all the public mailing lists on lists.okfn.org,support and information for those interested in Open Knowledge and the Open Knowledge Foundation,open data,,English,,,
http://slack.opendatacommunity.io/,Open Data Community,slack team,Open Data Community on Slack,production networking for Open Data related projects,open data,,English,,,
https://lists.w3.org/Archives/Public/public-opengov/,Open Government Community Group,mailing list,This is the public mailing list for the Open Government Community Group. Anyone may read or write to this list.,Mailing lists on topics around the Open Government Community Group in the USA,"government,service design",,English,usa,,
notwestminster.slack.com,Not Westminster,slack team,"If we want a stronger local democracy, we all need to get involved in making it happen – wherever we are.",Activism towards local democracy.,"government,service design",,English,uk,,
https://www.meetup.com/People-before-pixels/,People Before Pixels,meetup group,A group for people who put people first when they're designing public sector services. This group welcomes anyone who's interested in making things better.,Collaborate to format the best user experience practises in the public sector.,"government,service design",,English,uk,,In Person Event
https://www.facebook.com/groups/opengovgroup/,Open Government and Civic Tech,facebook group,"Global exchange on open government, civic technology, open data, and digital democracy. Over 150 nations represented.",Worldwide discussions on Open Governement and Civic Technology,"transparency,open government,government",,English,international,,
https://dgroups.org/,OGP Civil Society Group,forum,"OGP brings together governments and civil society organizations as true partners at both the national and international level. At the national level, governments work with civil society organizations to develop and implement their OGP national action plan. Countries are encouraged to institutionalize a mechanism for ongoing dialogue and collaboration between government and civil society. Within OGP, the IndependentCivil Society Engagement team (CSE) works to broaden, strengthen and engage a strong civil society network to participate in OGP, particularly at the national level. The CSC supports national civil society actors to help them make better use of the OGP process -- including the design, implementation and monitoring of OGP action plans -- for achieving their own advocacy objectives.",Dissussions for those within the OGP Civil Society Group,"transparency,open government,government",,English,international,,email: ogp@dgroups.org to join
http://forum.opengovernment.org.uk/groups/opengovuk/request_membership,Open Government Forum,forum,"This discussion group is the home of the UK Open Government Civil Society Network (OGN) - a coalition of individuals and organisations committed to making government work better for people through transparency, participation and accountability. You can find out more about the OGN at: www.opengovernment.org.uk.",Dissussions for those within the UK specific OGP Civil Society Group,"transparency,open government,government",,English,uk,,
https://openpolicynetwork.org/about/join/,Open Policy Network,mailing list,"The mission of the Open Policy Network is to foster the creation, adoption and implementation of open policies and practices that advance the public good by supporting open policy advocates, organizations and policy makers, connecting open policy opportunities with assistance, and sharing open policy information.","Discussions around Open Policy, with a focus on those involved in the Open Policy Network","transparency,open government,government",,English,,,
https://www.facebook.com/groups/wikipediaweekly,Wikipedia Weekly,facebook group,Discussion and general gabbery about Wikipedia/Wikimedia news and community issues. Known to also house Signpost and other Wikipedia news junkies.,Discussion for wikimedians,"wikimedia,media",Podcast (https://en.wikipedia.org/wiki/Wikipedia:WikipediaWeekly),English,international,,
https://www.facebook.com/groups/511418892316698/,Wikimedia Foundation Social Media Hub,facebook group,"Group, to discuss how the Wikimedia Foundation social media can best support the movement.",Discussion for wikimedians,"wikimedia,education",,English,international,,
http://www.opencon2017.org/community_discussion,OpenCon Community discussion,mailing list,"The OpenCon Community brings together students, early career researchers and more from across the world for discussion and action around Open Access, Open Data and Open Education. You can join the discussion regardless of if you been to OpenCon, so don't be shy and join the discussion!","Networking for those who attended or are interested in the themes explored at, OpenCon","education,open access,open data",,English,uk,,
https://lists.okfn.org/mailman/listinfo/open-education,Open Education,mailing list,A low volume list for those interested in issues relating to open education - including educational data and educational resources.,Information and Announcements for those working in and around Open Education (OKFN),education,,English,international,,
https://nationalpupildatabase.wikispaces.com/,"National Pupil Database Research Group
",wiki,"These wiki pages provide information on the National Pupil Database in England for end-users of the data in the research community. The pages have been developed and maintained on a voluntary basis by PLUG, the PLASC/NPD users' group. Dr Rebecca Allen at the Institute of Education, University of London, is currently responsible for overseeing this wiki. You can learn more abut how to contribute to the wiki on this page. The site will never be a complete and comprehensive guide to the data because NPD changes as each new sweep of data is released. So, new contributors are always most welcome and should email Rebecca Allen to ask for an invitation to register.","Information site about the National Pupil Database, for end users of the data.","education,continuing professional development",,English,uk,,
http://www.bristol.ac.uk/cmpo/npd-user-group/,Centre for Market and Public Organisation > NPD User Group,mailing list,"The NPD User Group supports users of the National Pupil Database (NPD) through organising meetings which focus on new data developments, analysis and research findings, and provide an opportunity to meet other users. Previously (2006-2014), the group was called the PLASC/NPD Users’ Group (PLUG) where PLASC refered to the Pupil Level Annual School Census.",Mailing list for those utilising the National Pupil Database for research.,"education,continuing professional development,academia",,English,uk,,
https://science.mozilla.org/,Mozilla Science Lab,membership portal,"Mozilla Science Lab is a community of researchers, developers, and librarians making research open and accessible. We’re empowering open science leaders through fellowships, mentorship, and project-based learning.",To connect and support Mozillians working on the Science Lab project,"academia,public engagement",,English,international,,
https://codeforscience.org/,Code for Science and Society,membership portal,"Supporting public data and technology through software development, education and outreach.","Access to tools, information and networking for USA based professionals utitlising code for science and society","academia,public engagement",,English,usa,,
http://mailman.ecs.soton.ac.uk/mailman/listinfo/goal,Global Open Access List,mailing list,"GOAL is accordingly dedicated to the discussion of Open Access practice and policy-making by the worldwide research community (in no order: researchers, universities, research institutions, research funding agencies, governmental research policy-makers and commercial entities) with the aim of enabling concrete, practical steps to be taken to achieve Open Access. Chief among these goals are techniques for increasing the amount of Open Access, as well as metrics of research usage and impact.",Discussion and announcements related to Global Open Access,academia,,English,uk,,
https://aoir.org/mailing-lists/,Association of Internet Researchers,mailing list,"Our community of Internet researchers thrives because of our flagship “air-l” mailing list. This email list is maintained by the Association of Internet Researchers for all scholars in this field, whether or not they are members. Currently, the list has over 5000 subscribers and provides an excellent environment in which to disseminate information, discuss key research concerns, and network with similarly-minded scholars.",Discussion and Information for those interested in Internet Reasearch,academia,,English,international,,
http://www.nettime.org/info.html,"Nettime, networked cultures, politics, and tactics: ",mailing list,"<nettime> is not just a mailing list but an effort to formulate an international, networked discourse that neither promotes a dominant euphoria (to sell products) nor continues the cynical pessimism, spread by journalists and intellectuals in the 'old' media who generalize about 'new' media with no clear understanding of their communication aspects. we have produced, and will continue to produce books, readers, and web sites in various languages so an 'immanent' net critique will circulate both on- and offline.","Discussion and connection point for technologists, journalists, and thinkers, looking at New Media",academia,,English,international,,
https://www.facebook.com/groups/1170805349664629/,AI & Politics,facebook group,Exploring the intersection of AI & politics,Meeting' point for members of the AI & Politics community,"ai,data science",,English,uk,,
http://fairsay.com/networks/ecampaigning-forum,eCampaigning Forum,forum,The eCampaigning Forum (ECF) community is a loose vibrant network of practitioners using digital media for campaigning (advocacy).,Discussions and networking for those within the eCampaigning Forum,"third sector,activism",,English,,,
https://www.facebook.com/digitalcharities,Digital Charities,facebook group,"The Digital Charities Working Group includes new media representatives from many charities, and meets on the first Wednesday of most months. * Employees of charities only at the meetings I'm afraid...","Promotion of, and discussion around, the Digital Charities Working Group","third sector,activism",,English,uk,,
https://digital-charities.signup.team/,Digital Charities,slack team,"Let us know who you are, what you do and what charity you work for. That last bit is obligatory.","Developer networking and support, for those working on digital campaigns within UK charities","third sector,activism",,English,uk,,
https://lists.securitywithoutborders.org/mailman/listinfo/swb-public,Security WIthout Borders,mailing list,swb - public,Public discussion of security issues affecting those working in international development.,"third sector,activism,surveillance",,English,international,,
https://www.facebook.com/groups/citizenbeta,Citizen Beta,facebook group,"Community for technology people working in: democracy, politics, civic infrastructure, citizen engagement and representation, government services and transformation, future cities, campaigning and influence, and all related topics!",Meeting point for those involved in ,civic tech,,English,uk,,
https://www.openrightsgroup.org/lists,Open Rights Group,mailing list,Open Rights Group exists to preserve and promote your rights in the digital age. We are funded by thousands of people like you.,"Defense of open internet, monitor of proposed & actual legislation, a lobby group.","privacy,surveillance,activism",,English,uk,,
https://airtable.com/shraBEItZa0sYiMB0,Progressive Coders Network,slack team,We are change makers with diverse skillsets removing the influence of money in politics by empowering the grassroots through open-source/low-cost tools.,Network of programmers,progressive,https://www.progcode.org/,English,international,,https://www.progcode.org/
https://www.facebook.com/groups/codersforcorbyn,Coders For Corbyn,facebook group,Coders For Corbyn,Discussion group for those supportive of Jeremy Corbyn,progressive,,English,uk,,
http://slacksignup.labour.pm/,Coders For Corbyn,slack team,Coders For Corbyn,Building code-based and digital assets in support of Corbyn,progressive,,English,uk,,
https://www.facebook.com/groups/274937246208727,Liberal Democrat Software Group,facebook group,"For coders, designers, and anyone who wants to win by using better technology. ",Liberal democrat focussed software campaign.,progressive,,English,uk,,
https://www.facebook.com/groups/438838372942873/,Green Party Coders,facebook group,"For discussing Green Party of England & Wales tech, UX and data projects.",Discussion group for those working on technology within the Green Party.,progressive,,English,uk,,
https://network.neweconomyorganisers.org/sign_in,New Economy Organisers Network,forum,The New Economy Organisers Network is an independent network of activists working for an economy based on social and environmental justice.,Decentralised environmental and social justise group. ,progressive,,English,international,,
https://www.meetup.com/Hack-Brexit/,Hack Brexit,meetup group,"We are calling developers, activists, product managers, data scientists, UX designers, systems architects, or anyone passionate about change, to join forces to create positive dialogue and action beyond Brexit.  
",Discussion group for those working to Hack Brexit,progressive,,English,uk,,In Person Event
https://www.facebook.com/groups/Techfugees/,Techfugees,facebook group,"""Techfugees is a social enterprise coordinating the international tech community response to the needs of Refugees & the displaced""",Co-ordinates hack events and those otherwise making technology to ,refugees,,English,international,,
https://www.meetup.com/UK-Hackathons-and-Jams/,Hackathons and Jams UK,meetup group,For those of us that enjoy participating in hackathons and jams - where we create and compete to produce the next big thing that will change the world... even if it's just a little bit at a time.,To co-ordinate and network those organising Hackathons and Jams in the UK,hackathons,,English,uk,,In Person Event
https://www.ewb-uk.org/join-the-movement/,Engineers Without Borders,mailing list,We use engineering as a catalyst to transform our world.,"Promote the idea of, and support those working in, engineering in a development or global south environment, and in other regions at times of stress.","engineering,technology,relief work,intermediate technology",,English,uk,,
https://su.org/,Singularity University,mailing list,Singularity University (SU) is a global community using exponential technologies to tackle the world’s biggest challenges.,Diseminate information about the programmes offered by the think tank. ,"education,technology,futurist",,English,usa,,
https://www.facebook.com/groups/thesomasalon/,Soma Salon,facebook group,"Two visions of the future continue to play out. Orwell's 'Nineteen Eighty Four' featured a society under a 'telescreen' dictatorship, where 'Victory Coffee' was served in cafés to people who yearned for free expression outside of the watchful eye of the state. It's a world in which the more extreme elements of the NSA, GCHQ and the FSB might well feel at home. In Huxley's 'Brave New World' the drug Soma is served to pacify the population - perhaps the 'dopamine effect' that commercial social networks have on us today. In both cases the new industrial revolution of technology is aiding and abetting both the powers that be, whoever they are, and those interested in freedom. As technologists what future do we choose to make? Let's discuss these and other questions in this new Salon of ideas, which will be international in nature.","Discussion group on futurism, security, and the political state.","futurist,society,technology",,English,international,,In Person Event;facebook group (closed)
http://www.techforgood.global/,Tech for Good,community website,Tech with humankind in mind,Promote the development of human centred projects,technology,,English,uk,,
http://shefftech4good.org/,Tech for Good Sheffield,events listing,A meet up for people interested in using technology to positively change the world,Promote the development of human centred projects,technology,,English,uk,sheffield,
https://www.meetup.com/techforgood/,Tech for Good London,meetup group,Tech with humankind in mind,Promote the development of human centred projects,technology,,English,uk,london,
https://www.meetup.com/Tech4Good-Bristol/,Tech4Good Bristol,meetup group,Tech with humankind in mind,Promote the development of human centred projects,technology,,English,uk,bristol,
https://www.meetup.com/Tech4Good-Bath/,Tech4Good Bath,meetup group,Tech with humankind in mind,Promote the development of human centred projects,technology,,English,uk,bath,
https://www.meetup.com/TechForGood-Dublin/,Tech for Good Dublin,meetup group,Tech with humankind in mind,Promote the development of human centred projects,technology,,English,ireland,dublin,
https://www.meetup.com/Tech-for-Good-Live/,Tech for Good Live,meetup group,Tech with humankind in mind,Promote the development of human centred projects,technology,,English,uk,manchester,
https://www.facebook.com/groups/579940655425355/,Decentralised Autonomous Society,facebook group,The revolution will not be centralized.,Support Activists working to decentralise government activities,"futurism,globalism,technology",,English,usa,,
https://www.meetup.com/londonocc/events/231335547/,London Open Coffee Meetup,meetup group,"Opencoffee is not your ordinary meetup. There are far too many of them. There is a very active mailing list - please do join, I challenge you to ask a question which doesn't receive an answer. Unlike other meetups, there are NO agendas, and NO presentations. It is pure networking.",Real life connection between technologists.,"intermediate technology,technology",,English,uk,london,
https://mailman.stanford.edu/mailman/listinfo/liberationtech,Liberation Tech,mailing list,"The mailing list for the Program on Liberation Technology ""Liberationtech"" at Stanford University serves as an information hub for those interested in how technology can be used to promote democracy, development, freedom, and human rights around the world. Please note that the mailing list is not an official communication channel of Stanford University.",Information and discussion for those around and interested in Stanford's Liberationtech,,,English,usa,,
https://groups.google.com/forum/?hl=en#!forum/tictecbymysociety,TICTeC by MySociety,mailing list,,To connect those working on TICTeC,democracy,,English,uk,,
https://www.facebook.com/groups/buildingglobalcommunity,Building Global Community,facebook group,"Go in-depth on Mark Zuckerberg's call for ""Building Global Community.""",To discuss Zuckerberg's call for 'building global community',futurism,,English,international,,
http://forums.e-democracy.org/practice,e-democracy org - communities of practise,forum,"E-Democracy hosts online communities of practice and working groups which further online community engagement, democracy online, digital inclusion, and civic technology.Most of our communities of practice connect locally oriented people on a very global basis.","Discussion of E-Democracy methods, and activism on. ","community engagement,democracy,localism,civic technology",,English,international,,
https://lists.openstreetmap.org/listinfo,Open Street Map,mailing list,lists.openstreetmap.org Mailing Lists,"Propagate Open Street Map, Support those adding to it. ","open data,internationalism,civic technology",,English,international,,
https://www.opengovernment.org.uk/networks/,UK Open Government Network,mailing list,"The UK Open Government Network (OGN) is a coalition of active citizens and civil society organisations committed to making government work better for people through increased transparency, participation and accountability. Membership of the UK OGN is open to any UK based individuals or civil society organisations (subject to few basic conditions).","Provide support and information to those working with services, in Central, regional and local government in the UK",open data,http://www.involve.org.uk/,English,uk,,Network
http://www.opengovernment.org.uk/networks/ni-ogn/,UK OGN - Northern Ireland,mailing list,"The Northern Ireland Open Government Network is a loose alliance of civil society in Northern Ireland campaigning for more open, transparent and accountable government that empowers citizens to shape decisions that impact on their lives. Membership of the Northern Ireland OGN is open to any Northern Ireland based individuals or civil society organisations.","Provide support and information to those working with services, in Central, regional and local government in Northern Ireland","open government,democracy,civic tech,open data",,English,uk,northern ireland,Network
http://www.opengovernment.org.uk/networks/scotland/,UK OGN - Scotland,mailing list,"The Scotland Open Government Network is a network of individuals that have in interest in a more open, transparent and accountable government that empowers citizens to shape decisions that impact on their lives. Membership of the Scotland OGN is open to anyone interested in the open government movement in Scotland.","Provide support and information to those working with services, in Central, regional and local government in Scotland","open government,democracy,civic tech,open data",http://www.involve.org.uk/,English,uk,scotland,Network
http://www.opengovernment.org.uk/networks/wales/,UK OGN - Wales,mailing list,The Wales Open Government Network is currently being established. Membership of the Wales OGN is open to any Wales based individuals or civil society organisations.,"Provide support and information to those working with services, in Central, regional and local government in Wales","open government,democracy,civic tech,open data",,English,uk,wales,Network
https://forum.opengovernment.org.uk/,Open Government UK,forum,"The UK Open Government Forum helps the open government movement in the UK to connect and collaborate. The forum was created by the UK Open Government Network (OGN) - a coalition of organisations and individuals committed to making government work better for people through transparency, participation and accountability. If you’re interested in opening up government budgets, contracts, datasets, decision making, information, policymaking or public services, we invite you to join.","Provide support and information to those working with services, in Central, regional and local government in the UK","open government,democracy,civic tech,open data",http://www.involve.org.uk/,English,uk,,
https://localgovdigital.slack.com/,LocalGovDigital London,slack team,,Local Gov Digital London Peer Group Slack,"local government,service design",,English,uk,london,
https://localgovdigital.slack.com/?redir=%2Fmessages%2Fsw_peer_group,LocalGovDigital South West,slack team,,Local Gov Digital South-West Peer Group Slack,"local government,service design",,English,uk,south west,
https://localgovdigital.slack.com/?redir=%2Fmessages%2Fsouth-peer-group,LocalGovDigital South  ,slack team,,Local Gov Digital South Peer Group Slack,"local government,service design",,English,uk,south,
https://www.eventbrite.co.uk/o/localgov-digital-10479776496,LocalGovDigital Events,eventbrite page,,Local Gov Digital Events Page,"local government,service design",,English,uk,,
https://www.meetup.com/Digital-Health-Oxford/,Digital Health Oxford,meetup group,"Digital Health Oxford is a cross-disciplinary and cross-sector group 
that aims to promote all things related to digital health within Oxford.
 It is a place to bring together researchers, developers, clinicians, 
entrepreneurs, patients, engineers, designers and others interested in 
Digital Health. Our events are friendly and informal, with accessible 
talks, networking, hackathons and idea-forming opportunities.  
",Events to support those working on producing digital health products in the oxford area.,"health,technology",,English,uk,oxford,www.dhox.org.
https://www.meetup.com/London-ICT4D/,London ICT4D,meetup group,"An informal networking opportunity for people with an interest in the 
use of Information and Communication Technologies for Development 
(ICT4D).",Social group for  those using IT in the global south,"intermediate technology,technology,development",,English,uk,london,
https://www.meetup.com/HealthTechWomenUK/,Healthtech Women UK,meetup group,"One HealthTech is a network that supports and promotes women and 
other underrepresented groups in health innovation. We acknowledge and 
champion the need and importance for better inclusion 
of all backgrounds, skill sets and disciplines in health and technology. 
We believe that different perspectives must be given a greater role 
in healthcare design, in order to build a health system that works for 
everyone.",Supports minority groups working in Health Innovation,"health,diversity",,English,uk,,
https://www.meetup.com/netsquaredlondon/,NetSquared London,meetup group,"NetSquared London runs monthly meetups for local community members to come together to share ideas, ask questions, and collaborate around using technology for social benefit.",Suports London based technologists working on tech for social good,civic tech,,English,uk,london,
https://www.meetup.com/Creative-AI/,Creative AI,meetup group,"A group designed to bring together artists, coders, designers, technologists and industry professionals to promote creative applications of artificial intelligence in art, music, film, design and beyond.",Social group for creatives utiltilising art and technology to produce AI inspired work,"creative technology,art,ai",,English,uk,london,
https://www.meetup.com/London-Open-Data-Missions/,London Open Data Meetup,meetup group,"Calling all open data and transparency activists to join us every last 
Wednesday of the month for liberating data and lightening talks. Whether
 you can write a few lines of code to write a bot, or a journalist who 
is interested in covering stories on transparency, or a campaigner who 
champions an open and free world - come along to meet like-minded people
 and use open data to change the world.","Supports technologists using Open Data, Connects them with media professionals who work on transparency","open data,data journalism,journalism",,English,uk,london,
